owner_role,AssigneeName,AssigneeEmail
CISO,Security Lead,security.lead@shahin-ai.com
DPO,Data Protection Officer,dpo@shahin-ai.com
Risk Manager,Risk Manager,risk.manager@shahin-ai.com
IT Operations,IT Operations,it.ops@shahin-ai.com
SecOps/SOC,SOC Lead,soc@shahin-ai.com
Network Team,Network Lead,network@shahin-ai.com
Cloud Team,Cloud Lead,cloud@shahin-ai.com
HR,HR Lead,hr@shahin-ai.com
Legal/Compliance,Compliance Lead,legal.compliance@shahin-ai.com
Procurement/Vendor Mgmt,Procurement Lead,procurement@shahin-ai.com
