Summary,Description,Assignee,Priority,Due Date,Labels,Control ID,Section,Frameworks,Domain,Evidence (Min),RICE,WSJF,Next Review
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Governance;Policy/Standard,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,Governance,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Business Continuity,"Implement and periodically test controls under NCA ECC v2.0 – 'Business Continuity'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Business Continuity' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Business Continuity;Report/Review,NCA-ECC::Business_Continuity,NCA ECC: Business Continuity,NCA ECC v2.0; SAMA CSF,Business Continuity,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Application Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Application Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Application Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Third-Party Risk;nan,NCA-ECC::Application_Security,NCA ECC: Application Security,NCA ECC v2.0,Third-Party Risk,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;nan,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,nan,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Asset Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Asset Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Asset Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Asset Management;nan,NCA-ECC::Asset_Management,NCA ECC: Asset Management,NCA ECC v2.0; SAMA CSF,Asset Management,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Asset Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Asset Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Asset Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Asset Management;nan,NCA-ECC::Asset_Management,NCA ECC: Asset Management,NCA ECC v2.0; SAMA CSF,Asset Management,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Network Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Network Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Network Team. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Network Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Network Team. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - Network Team,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Network Security;nan,NCA-ECC::Network_Security,NCA ECC: Network Security,NCA ECC v2.0; SAMA CSF,Network Security,Policy/Standard; Configuration/Capture; Report/Review,16.0,3.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Asset Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Asset Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Asset Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Compliance;nan,NCA-ECC::Asset_Management,NCA ECC: Asset Management,NCA ECC v2.0; SAMA CSF,Compliance,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0; SAMA CSF,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
